date,open_price,close_price,high_price,low_price,volume,EMA_5,EMA_20,signal
2023-01-30,144.955,143.0,145.55,142.85,64015274,142.92381179450993,138.09829080192458,0
2023-01-31,142.7,144.29,144.34,142.28,65874459,143.37920786300907,138.68895358412868,0
2023-02-01,143.97,145.43,146.61,141.32,77663633,144.06280524200852,139.33191943500233,0
2023-02-02,148.9,150.82,151.18,148.17,118338980,146.31520349467772,140.42750455799464,0
2023-02-03,148.03,154.5,157.38,147.83,154357337,149.04346899645617,141.76938474515464,0
2023-02-06,152.575,151.73,153.1,150.78,69858306,149.93897933097173,142.71906651556003,0
2023-02-07,150.64,154.65,155.23,150.64,83322551,151.50931955398227,143.8564855873858,0
2023-02-08,153.88,151.92,154.58,151.168,64120079,151.64621303598824,144.62513617668037,0
2023-02-09,153.775,150.87,154.33,150.42,56007143,151.38747535732543,145.2203733437195,1
2023-02-10,149.46,151.01,151.3401,149.22,57450708,151.2616502382169,145.7721758584308,-1
2023-02-13,150.952,153.85,154.26,150.92,62199013,152.1244334921447,146.5420093369336,0
2023-02-14,152.12,153.2,153.77,150.86,61707573,152.48295566142983,147.17648912550393,0
2023-02-15,153.11,155.33,155.5,152.88,65669252,153.43197044095328,147.9534410092525,0
2023-02-16,153.51,153.71,156.33,153.3475,68167942,153.52464696063555,148.5019574928782,0
2023-02-17,152.35,152.55,153.0,150.85,59144118,153.1997646404237,148.8876588879803,1
2023-02-21,150.2,148.48,151.3,148.405,58867230,151.62650976028243,148.84881842094615,0
2023-02-22,148.87,148.91,149.95,147.16,51011305,150.72100650685496,148.8546473848482,-1
2023-02-23,150.09,149.4,150.34,147.24,48394249,150.28067100456997,148.90660304234825,1
2023-02-24,147.11,146.71,147.19,145.7202,55469606,149.09044733637998,148.69733966092798,0
2023-02-27,147.71,147.92,149.17,147.45,44998470,148.70029822425332,148.62328711218674,0
2023-02-28,147.05,147.41,149.08,146.83,50546998,148.2701988161689,148.50770743343193,0
2023-03-01,146.83,145.31,147.2285,145.01,55478991,147.2834658774459,148.20309584967296,0
2023-03-02,144.38,145.91,146.71,143.9,52279761,146.8256439182973,147.9846616384713,0
2023-03-03,148.045,151.03,151.11,147.33,70732297,148.22709594553154,148.27474688780535,-1
2023-03-06,153.785,153.83,156.3,153.46,87558028,150.09473063035438,148.80390612546415,0
2023-03-07,153.7,151.6,154.0299,151.13,56182028,150.5964870869029,149.07024063183894,0
2023-03-08,152.81,152.87,153.47,151.83,47204791,151.35432472460192,149.43217147448146,0
2023-03-09,153.559,150.59,154.535,150.225,53833582,151.09954981640126,149.54245436600888,1
